1,Arizona Cardinals,ARI,NFC,West,"better/images/NFL/arizona.gif"
2,Atlanta Falcons,ATL,NFC,South,"better/images/NFL/atlanta.gif"
3,Baltimore Ravens,BAL,AFC,North,"better/images/NFL/baltimore.gif"
4,Buffalo Bills,BUF,AFC,East,"better/images/NFL/buffalo.gif"
5,Carolina Panthers,CAR,NFC,South,"better/images/NFL/carolina.gif"
6,Chicago Bears,CHI,NFC,North,"better/images/NFL/chicago.gif"
7,Cincinnati Bengals,CIN,AFC,North,"better/images/NFL/cincinatti.gif"
8,Cleveland Browns,CLE,AFC,North,"better/images/NFL/cleveland.gif"
9,Dallas Cowboys,DAL,NFC,East,"better/images/NFL/dallas.gif"
10,Denver Broncos,DEN,AFC,West,"better/images/NFL/denver.gif"
11,Detroit Lions,DET,NFC,North,"better/images/NFL/detroit.gif"
12,Green Bay Packers,GB,NFC,North,"better/images/NFL/greenbay.gif"
13,Houston Texans,HOU,AFC,South,"better/images/NFL/houston.gif"
14,Indianapolis Colts,IND,AFC,South,"better/images/NFL/indianapolis.gif"
15,Jacksonville Jaguars,JAX,AFC,South,"better/images/NFL/jacksonville.gif"
16,Kansas City Chiefs,KC,AFC,West,"better/images/NFL/kansas.gif"
17,Miami Dolphins,MIA,AFC,East,"better/images/NFL/miami.gif"
18,Minnesota Vikings,MIN,NFC,North,"better/images/NFL/minnesota.gif"
19,New England Patriots,NE,AFC,East,"better/images/NFL/newengland.gif"
20,New Orleans Saints,NO,NFC,South,"better/images/NFL/neworleans.gif"
21,NY Giants,NYG,NFC,East,"better/images/NFL/newyork.gif"
22,NY Jets,NYJ,AFC,East,"better/images/NFL/newyorkjets.gif"
23,Oakland Raiders,OAK,AFC,West,"better/images/NFL/oakland.gif"
24,Philadelphia Eagles,PHI,NFC,East,"better/images/NFL/philadelphia.gif"
25,Pittsburgh Steelers,PIT,AFC,North,"better/images/NFL/pittsburg.gif"
26,San Diego Chargers,SD,AFC,West,"better/images/NFL/losangeles.gif"
27,San Francisco 49ers,SF,NFC,West,"better/images/NFL/sanfrancisco.gif"
28,Seattle Seahawks,SEA,NFC,West,"better/images/NFL/seattle.gif"
29,St. Louis Rams,STL,NFC,West,"better/images/NFL/losangelesRams.gif"
30,Tampa Bay Buccaneers,TB,NFC,South,"better/images/NFL/tampa.gif"
31,Tennessee Titans,TEN,AFC,South,"better/images/NFL/tennesse.gif"
32,Washington Redskins,WAS,NFC,East,"better/images/NFL/washington.gif"
