"LAA","ANA","Los Angeles Angels of Anaheim","1997","better/images/MLB/losangels.gif"
"ARI","ARI","Arizona Diamondbacks","1998","better/images/MLB/dbacks.gif"
"ATL","ATL","Atlanta Braves","1966","better/images/MLB/braves.gif"
"BAL","BAL","Baltimore Orioles","1954","better/images/MLB/Orioles.gif"
"BOS","BOS","Boston Red Sox","1901","better/images/MLB/Boston.gif"
"CHC","CHC","Chicago Cubs","1876","better/images/MLB/cubs.gif"
"CHW","CHW","Chicago White Sox","1901","better/images/MLB/whitesox.gif"
"CIN","CIN","Cincinnati Reds","1882","better/images/MLB/reds.gif"
"CLE","CLE","Cleveland Indians","1901","better/images/MLB/cleveland.gif"
"COL","COL","Colorado Rockies","1993","better/images/MLB/rockies.gif"
"DET","DET","Detroit Tigers","1901","better/images/MLB/detriottigers.gif"
"MIA","MIA","Miami Marlins","2012","better/images/MLB/marlins.gif"
"HOU","HOU","Houston Astros","1962","better/images/MLB/houstonAstros.gif"
"KC","KCR","Kansas City Royals","1969","better/images/MLB/kcroyals.gif"
"LAD","LAD","Los Angeles Dodgers","1958","better/images/MLB/dodgers.gif"
"MIL","MIL","Milwaukee Brewers","1970","better/images/MLB/brewers.gif"
"MIN","MIN","Minnesota Twins","1961","better/images/MLB/twins.gif"
"NYM","NYM","New York Mets","1962","better/images/MLB/mets.gif"
"NYY","NYY","New York Yankees","1903","better/images/MLB/yankees.gif"
"OAK","OAK","Oakland Athletics","1968","better/images/MLB/oaklandas.gif"
"PHI","PHI","Philadelphia Phillies","1883","better/images/MLB/phillies.gif"
"PIT","PIT","Pittsburgh Pirates","1882","better/images/MLB/pirates.gif"
"SD","SDP","San Diego Padres","1969","better/images/MLB/padres.gif"
"SEA","SEA","Seattle Mariners","1977","better/images/MLB/seattle.gif"
"SF","SFG","San Francisco Giants","1958","better/images/MLB/giants.gif"
"STL","STL","St. Louis Cardinals","1882","better/images/MLB/cardnials.gif"
"TB","TBR","Tampa Bay Rays","2008","better/images/MLB/rays.gif"
"TEX","TEX","Texas Rangers","1972","better/images/MLB/texas.gif"
"TOR","TOR","Toronto Blue Jays","1977","better/images/MLB/bluejays.gif"
"WAS","WSN","Washington Nationals","2005","better/images/MLB/nationals.gif"
